Unnamed: 0,image_path,glasses,hat,facial_hair,label
6639,train_img/055135.jpg,0.0,0.0,1.0,0.0
74876,train_img/074877.jpg,0.0,0.0,0.0,1.0
15413,train_img/015414.jpg,0.0,0.0,0.0,1.0
80522,train_img/080523.jpg,0.0,0.0,0.0,1.0
77586,train_img/077587.jpg,0.0,0.0,0.0,1.0
10351,train_img/086010.jpg,1.0,0.0,0.0,0.0
50028,train_img/050029.jpg,0.0,0.0,0.0,1.0
83637,train_img/083638.jpg,0.0,0.0,0.0,1.0
4559,train_img/037938.jpg,0.0,0.0,0.0,0.0
86394,train_img/086395.jpg,0.0,0.0,0.0,1.0
34033,train_img/034034.jpg,0.0,0.0,0.0,1.0
51863,train_img/051864.jpg,0.0,0.0,0.0,1.0
39218,train_img/039219.jpg,0.0,0.0,0.0,1.0
38180,train_img/038181.jpg,0.0,0.0,0.0,1.0
14296,train_img/014297.jpg,0.0,0.0,0.0,1.0
40454,train_img/040455.jpg,0.0,0.0,0.0,1.0
74887,train_img/074888.jpg,0.0,0.0,0.0,1.0
76190,train_img/076191.jpg,0.0,0.0,0.0,1.0
27874,train_img/027875.jpg,0.0,0.0,0.0,1.0
90354,train_img/090355.jpg,0.0,0.0,0.0,1.0
34163,train_img/034164.jpg,0.0,0.0,0.0,1.0
10702,train_img/089054.jpg,0.0,0.0,1.0,0.0
1833,train_img/001834.jpg,0.0,0.0,0.0,1.0
925,train_img/007630.jpg,1.0,0.0,0.0,0.0
61527,train_img/061528.jpg,0.0,0.0,0.0,1.0
55765,train_img/055766.jpg,0.0,0.0,0.0,1.0
80140,train_img/080141.jpg,0.0,0.0,0.0,1.0
62080,train_img/062081.jpg,0.0,0.0,0.0,1.0
10691,train_img/010692.jpg,0.0,0.0,0.0,1.0
10009,train_img/010010.jpg,0.0,0.0,0.0,1.0
50741,train_img/050742.jpg,0.0,0.0,0.0,1.0
9765,train_img/009766.jpg,0.0,0.0,0.0,1.0
46101,train_img/046102.jpg,0.0,0.0,0.0,1.0
17688,train_img/017689.jpg,0.0,0.0,0.0,1.0
76651,train_img/076652.jpg,0.0,0.0,0.0,1.0
38632,train_img/038633.jpg,0.0,0.0,0.0,1.0
6746,train_img/006747.jpg,0.0,0.0,0.0,1.0
52919,train_img/052920.jpg,0.0,0.0,0.0,1.0
17643,train_img/017644.jpg,0.0,0.0,0.0,1.0
85784,train_img/085785.jpg,0.0,0.0,0.0,1.0
3535,train_img/003536.jpg,0.0,0.0,0.0,1.0
11164,train_img/011165.jpg,0.0,0.0,0.0,1.0
78712,train_img/078713.jpg,0.0,0.0,0.0,1.0
73378,train_img/073379.jpg,0.0,0.0,0.0,1.0
2895,train_img/024054.jpg,0.0,0.0,1.0,0.0
33189,train_img/033190.jpg,0.0,0.0,0.0,1.0
774,train_img/000775.jpg,0.0,0.0,0.0,1.0
90530,train_img/090531.jpg,0.0,0.0,0.0,1.0
52248,train_img/052249.jpg,0.0,0.0,0.0,1.0
47316,train_img/047317.jpg,0.0,0.0,0.0,1.0
47402,train_img/047403.jpg,0.0,0.0,0.0,1.0
62,train_img/000511.jpg,1.0,1.0,1.0,0.0
61009,train_img/061010.jpg,0.0,0.0,0.0,1.0
50873,train_img/050874.jpg,0.0,0.0,0.0,1.0
55040,train_img/055041.jpg,0.0,0.0,0.0,1.0
74086,train_img/074087.jpg,0.0,0.0,0.0,1.0
10302,train_img/085560.jpg,1.0,0.0,1.0,0.0
47237,train_img/047238.jpg,0.0,0.0,0.0,1.0
8523,train_img/008524.jpg,0.0,0.0,0.0,1.0
1463,train_img/012182.jpg,0.0,0.0,0.0,0.0
35307,train_img/035308.jpg,0.0,0.0,0.0,1.0
1862,train_img/001863.jpg,0.0,0.0,0.0,1.0
27545,train_img/027546.jpg,0.0,0.0,0.0,1.0
752,train_img/000753.jpg,0.0,0.0,0.0,1.0
73751,train_img/073752.jpg,0.0,0.0,0.0,1.0
88670,train_img/088671.jpg,0.0,0.0,0.0,1.0
19344,train_img/019345.jpg,0.0,0.0,0.0,1.0
4914,train_img/040710.jpg,1.0,0.0,1.0,0.0
95191,train_img/095192.jpg,0.0,0.0,0.0,1.0
83569,train_img/083570.jpg,0.0,0.0,0.0,1.0
29025,train_img/029026.jpg,0.0,0.0,0.0,1.0
7875,train_img/007876.jpg,0.0,0.0,0.0,1.0
3721,train_img/031032.jpg,0.0,1.0,1.0,0.0
8009,train_img/066495.jpg,1.0,1.0,0.0,0.0
65443,train_img/065444.jpg,0.0,0.0,0.0,1.0
86996,train_img/086997.jpg,0.0,0.0,0.0,1.0
95642,train_img/095643.jpg,0.0,0.0,0.0,1.0
60058,train_img/060059.jpg,0.0,0.0,0.0,1.0
77185,train_img/077186.jpg,0.0,0.0,0.0,1.0
36279,train_img/036280.jpg,0.0,0.0,0.0,1.0
59337,train_img/059338.jpg,0.0,0.0,0.0,1.0
11140,train_img/011141.jpg,0.0,0.0,0.0,1.0
93710,train_img/093711.jpg,0.0,0.0,0.0,1.0
22591,train_img/022592.jpg,0.0,0.0,0.0,1.0
1231,train_img/010235.jpg,0.0,1.0,0.0,0.0
72242,train_img/072243.jpg,0.0,0.0,0.0,1.0
55617,train_img/055618.jpg,0.0,0.0,0.0,1.0
25260,train_img/025261.jpg,0.0,0.0,0.0,1.0
5236,train_img/043495.jpg,0.0,0.0,1.0,0.0
7229,train_img/007230.jpg,0.0,0.0,0.0,1.0
72506,train_img/072507.jpg,0.0,0.0,0.0,1.0
15465,train_img/015466.jpg,0.0,0.0,0.0,1.0
70820,train_img/070821.jpg,0.0,0.0,0.0,1.0
15880,train_img/015881.jpg,0.0,0.0,0.0,1.0
55729,train_img/055730.jpg,0.0,0.0,0.0,1.0
6548,train_img/006549.jpg,0.0,0.0,0.0,1.0
51094,train_img/051095.jpg,0.0,0.0,0.0,1.0
42623,train_img/042624.jpg,0.0,0.0,0.0,1.0
59076,train_img/059077.jpg,0.0,0.0,0.0,1.0
97107,train_img/097108.jpg,0.0,0.0,0.0,1.0
990,train_img/000991.jpg,0.0,0.0,0.0,1.0
966,train_img/000967.jpg,0.0,0.0,0.0,1.0
42992,train_img/042993.jpg,0.0,0.0,0.0,1.0
87191,train_img/087192.jpg,0.0,0.0,0.0,1.0
48386,train_img/048387.jpg,0.0,0.0,0.0,1.0
87469,train_img/087470.jpg,0.0,0.0,0.0,1.0
69522,train_img/069523.jpg,0.0,0.0,0.0,1.0
49931,train_img/049932.jpg,0.0,0.0,0.0,1.0
93220,train_img/093221.jpg,0.0,0.0,0.0,1.0
33877,train_img/033878.jpg,0.0,0.0,0.0,1.0
77799,train_img/077800.jpg,0.0,0.0,0.0,1.0
67978,train_img/067979.jpg,0.0,0.0,0.0,1.0
64797,train_img/064798.jpg,0.0,0.0,0.0,1.0
59135,train_img/059136.jpg,0.0,0.0,0.0,1.0
8762,train_img/072525.jpg,0.0,1.0,0.0,0.0
8104,train_img/067227.jpg,0.0,0.0,1.0,0.0
5096,train_img/042167.jpg,0.0,0.0,0.0,0.0
6705,train_img/006706.jpg,0.0,0.0,0.0,1.0
29926,train_img/029927.jpg,0.0,0.0,0.0,1.0
45015,train_img/045016.jpg,0.0,0.0,0.0,1.0
76479,train_img/076480.jpg,0.0,0.0,0.0,1.0
2924,train_img/024349.jpg,1.0,0.0,0.0,0.0
13404,train_img/013405.jpg,0.0,0.0,0.0,1.0
34437,train_img/034438.jpg,0.0,0.0,0.0,1.0
41753,train_img/041754.jpg,0.0,0.0,0.0,1.0
69629,train_img/069630.jpg,0.0,0.0,0.0,1.0
32613,train_img/032614.jpg,0.0,0.0,0.0,1.0
22435,train_img/022436.jpg,0.0,0.0,0.0,1.0
58090,train_img/058091.jpg,0.0,0.0,0.0,1.0
43546,train_img/043547.jpg,0.0,0.0,0.0,1.0
9239,train_img/076724.jpg,0.0,0.0,1.0,0.0
65128,train_img/065129.jpg,0.0,0.0,0.0,1.0
21250,train_img/021251.jpg,0.0,0.0,0.0,1.0
940,train_img/007703.jpg,1.0,0.0,0.0,0.0
44750,train_img/044751.jpg,0.0,0.0,0.0,1.0
53449,train_img/053450.jpg,0.0,0.0,0.0,1.0
83608,train_img/083609.jpg,0.0,0.0,0.0,1.0
65579,train_img/065580.jpg,0.0,0.0,0.0,1.0
2666,train_img/002667.jpg,0.0,0.0,0.0,1.0
61546,train_img/061547.jpg,0.0,0.0,0.0,1.0
72505,train_img/072506.jpg,0.0,0.0,0.0,1.0
89921,train_img/089922.jpg,0.0,0.0,0.0,1.0
31668,train_img/031669.jpg,0.0,0.0,0.0,1.0
30663,train_img/030664.jpg,0.0,0.0,0.0,1.0
68759,train_img/068760.jpg,0.0,0.0,0.0,1.0
76462,train_img/076463.jpg,0.0,0.0,0.0,1.0
16741,train_img/016742.jpg,0.0,0.0,0.0,1.0
4876,train_img/004877.jpg,0.0,0.0,0.0,1.0
99903,train_img/099904.jpg,0.0,0.0,0.0,1.0
34743,train_img/034744.jpg,0.0,0.0,0.0,1.0
80109,train_img/080110.jpg,0.0,0.0,0.0,1.0
45619,train_img/045620.jpg,0.0,0.0,0.0,1.0
81358,train_img/081359.jpg,0.0,0.0,0.0,1.0
23965,train_img/023966.jpg,0.0,0.0,0.0,1.0
45435,train_img/045436.jpg,0.0,0.0,0.0,1.0
53118,train_img/053119.jpg,0.0,0.0,0.0,1.0
58401,train_img/058402.jpg,0.0,0.0,0.0,1.0
29537,train_img/029538.jpg,0.0,0.0,0.0,1.0
